Building#,Altitude,BuildingHeight,BuildingWidth,NestHeight,SquareArea,AveNoise,temp,prec,win,nd,npp,pop,lon,lat,NestCount,NestD1,AvilNest,AvaNR2,gdpp,NestHeightR,DensityR,AvaNR,light,urban,ID
Cuiyuan Court,805,78,53,13.5,2120,53,16.85,56.17,2.52,5455,-9.45E-12,6922.654785,112.71,38.43,7,1,24,2.943396226,3.846571398,4.250025,0.132075472,0.452830189,63,0.907599329948425,11338
Derong Dijing,0,84,25,21,10000,20,19.85,80.5,2.45,3972,-2.33E-11,321.1707153,116.69,39.48,24,0,108,13.44,6.041448462,3.972266667,0.96,4.32,62,0.820578515529633,11739
Derong Garden,652,63,56,15,2352,50,17.8,58.67,2.55,2738,1.14065555611997e-10,1453.12085,113.6,37.86,10,0,32,3,5.629102658,4.5,0.178571429,0.571428571,61,0.879434108734131,11438
Deyej¨¹ Garden No.12,690,21,40,10,1200,57,17.77,59,2.57,3797,1.14065555611997e-10,1453.120972,113.61,37.84,1,1,5,0.875,5.629102658,2,0.025,0.125,59,0.846988081932068,11438
Deyej¨¹ Garden No.13,690,21,40,9,1200,57,17.77,59,2.57,3797,1.14065555611997e-10,1453.120972,113.61,37.84,3,1,15,0.875,5.629102658,1.8,0.075,0.375,59,0.846988081932068,11438
Dishuiju Community,798,18.5,20,15.5,1600,30,17.1,55.5,2.53,2770,1.85207613134786e-10,17396.63867,112.53,37.87,1,0,3,0.9,7.830320956,5.16615,0.05,0.15,63,0.925162136554718,11338
Dianzi Chanpin Jianyansuo Family Quarters,750,21,20,9,2400,60,17.08,54.83,2.43,2770,1.85207613134786e-10,41193.37109,112.52,37.86,1,1,1,0.35,7.830320956,9,0.05,0.05,63,0.93959641456604,11338
Dongcheng Shui'an,650,21,32,10.5,448,60,17.75,59,2.53,2738,1.14065555611997e-10,1453.12085,113.61,37.86,21,0.5,32,1.75,5.629102658,6.1875,0.65625,1,61,0.819846391677856,11438
Dongcheng Shui'an Building 3,615,90,20,12,800,67,17.75,59,2.53,2738,1.14065555611997e-10,1453.12085,113.61,37.86,3,0,24,17.4,5.629102658,1.3749,0.15,1.2,61,0.819846391677856,11438
Dongfang Garden B-1,1200.76,18,70,11.25,2400,56,16.22,24.83,2.43,5576,2.53585569209847e-10,2074.056885,105.21,37.52,4,0,15,0.642857143,4.125411304,2.24115,0.057142857,0.214285714,59,0.816579818725586,10538
Dongfang Jiayuan Building 15,1212.26,18.5,50,14.33333333,2800,50,16.32,24.5,2.53,5576,2.53585569209847e-10,3191.763184,105.2,37.52,4,1,14,0.56,4.125411304,4.5523,0.08,0.28,60,0.756603479385376,10538
Dongfang Jiayuan Building 16,1194.63,18.5,60,9.666666667,2700,58,16.32,24.5,2.53,5576,2.53585569209847e-10,3191.763184,105.2,37.52,8,0,18,0.6,4.125411304,4.8889,0.133333333,0.3,60,0.756603479385376,10538
Dongfang Mingzhu City 1,3,93,40,22,800,73,16.97,84,4.12,3138,-1.51E-10,9147.182617,119.63,39.94,6,0,18,4.65,5.374131422,6.3336,0.15,0.45,62,0.907984375953674,12040
Dongfang Mingzhu City 2,3,93,40,19.5,800,73,16.97,84,4.12,3138,-1.51E-10,9147.182617,119.63,39.94,2,0.5,12,4.65,5.374131422,3.25065,0.05,0.3,62,0.907984375953674,12040
Dongfeng Community 1,0,36,70,16.2,2700,62,20.15,66.83,2.63,2476,2.45141351662426e-10,888.9754639,116.12,38.69,8,0,42,1.44,7.227339261,3.05532,0.114285714,0.6,62,0.923820972442627,11639
Dongfeng Community 2,0,36,70,6,2700,59,20.15,66.83,2.63,2476,2.45141351662426e-10,888.9754639,116.12,38.69,1,1,4,0.685714286,7.227339261,1.5,0.014285714,0.057142857,62,0.923820972442627,11639
Dongguangli 1,6,18,45,11.25,675,66,17,87.5,4.15,3138,-1.51E-10,19490.99805,119.61,39.94,15,0,32,1.066666667,5.374131422,6.1875,0.333333333,0.711111111,63,0.936549067497253,12040
Dongguangli 2,6,18,45,10.5,675,66,17,87.5,4.15,3138,-1.51E-10,19490.99805,119.61,39.94,5,1,16,1.066666667,5.374131422,3.375,0.111111111,0.355555556,63,0.936549067497253,12040
Donghuanli 1,5,18,45,15,800,52,17.03,87.17,4.1,3138,-1.51E-10,23324.69531,119.62,39.95,6,1,18,0.8,5.374131422,5.1667,0.133333333,0.4,63,0.909673869609833,12040
Donghuanli 2,5,18,45,15,800,52,17.03,87.17,4.1,3138,-1.51E-10,23324.69531,119.62,39.95,3,0,18,0.8,5.374131422,2.5005,0.066666667,0.4,63,0.909673869609833,12040
Dongsheng Community Building 9,1068,19,50,7.666666667,1350,56,16.25,25.17,2.68,4733,7.56520887601475e-11,2247.633057,106.28,38.46,14,1,26,1.04,6.870651127,3.014066667,0.28,0.52,63,0.857864320278168,10638
Dongxing Street No.50,1685,12,60,6,1500,51,15.08,30,2.47,2081,4.7367199051962e-10,2151.73999,104.17,36.54,2,0,5,0.333333333,3.216234269,2.4,0.033333333,0.083333333,62,0.858234941959381,10437
